Award,Link
Totin' Chip,https://www.scouting.org/awards/awards-central/totin-chip
Firem'n Chit,https://www.scouting.org/awards/awards-central/firemn-chit
Recruiter Strip,https://www.scouting.org/awards/awards-central/recruiter-strip
Interpreter Strip,https://www.scouting.org/awards/awards-central/interpreter-strip
Catholic Emblems,https://catholicscouting.com/religious-emblems-and-activities
All Religious Emblems,https://www.scouting.org/awards/religious-awards
National Outdoor Awards,https://www.scouting.org/programs/scouts-bsa/advancement-and-awards/noa
National Honor Patrol,https://www.scouting.org/awards/awards-central/national-honor-patrol
